iter	Passed	Remaining
0	102	102525
1	141	70515
2	178	59374
3	216	53868
4	253	50521
5	288	47739
6	326	46328
7	364	45248
8	409	45140
9	451	44741
10	496	44679
11	533	43919
12	568	43135
13	608	42854
14	649	42646
15	688	42326
16	724	41919
17	760	41489
18	797	41170
19	833	40852
20	870	40581
21	908	40408
22	947	40228
23	986	40132
24	1024	39961
25	1063	39834
26	1099	39615
27	1134	39399
28	1171	39220
29	1209	39098
30	1247	38992
31	1283	38826
32	1319	38666
33	1354	38473
34	1388	38294
35	1423	38124
36	1458	37973
37	1494	37832
38	1527	37629
39	1562	37497
40	1599	37403
41	1637	37341
42	1671	37211
43	1706	37083
44	1743	36992
45	1777	36861
46	1809	36695
47	1842	36537
48	1875	36391
49	1909	36273
50	1944	36175
51	1981	36119
52	2016	36027
53	2049	35909
54	2084	35809
55	2118	35712
56	2155	35658
57	2189	35552
58	2223	35466
59	2255	35336
60	2289	35246
61	2324	35174
62	2362	35135
63	2395	35028
64	2427	34919
65	2458	34797
66	2493	34716
67	2527	34635
68	2559	34538
69	2596	34496
70	2630	34414
71	2662	34310
72	2693	34204
73	2726	34118
74	2762	34067
75	2795	33983
76	2831	33938
77	2864	33857
78	2898	33789
79	2932	33724
80	2968	33684
81	3003	33626
82	3038	33568
83	3072	33505
84	3105	33430
85	3140	33375
86	3171	33285
87	3204	33213
88	3236	33131
89	3272	33088
90	3304	33008
91	3337	32935
92	3371	32879
93	3406	32834
94	3442	32791
95	3479	32767
96	3513	32705
97	3544	32621
98	3581	32598
99	3615	32535
100	3645	32451
101	3678	32382
102	3711	32321
103	3746	32279
104	3780	32228
105	3812	32157
106	3848	32122
107	3882	32069
108	3914	31995
109	3948	31948
110	3983	31905
111	4022	31891
112	4058	31856
113	4092	31803
114	4125	31749
115	4157	31679
116	4190	31624
117	4223	31568
118	4257	31519
119	4292	31476
120	4326	31429
121	4361	31387
122	4394	31334
123	4427	31280
124	4462	31238
125	4496	31189
126	4532	31154
127	4568	31121
128	4602	31075
129	4640	31056
130	4673	31002
131	4712	30985
132	4745	30934
133	4781	30899
134	4816	30859
135	4853	30835
136	4889	30799
137	4924	30762
138	4959	30722
139	4994	30680
140	5031	30651
141	5068	30623
142	5108	30616
143	5145	30586
144	5186	30581
145	5223	30554
146	5257	30510
147	5297	30494
148	5338	30493
149	5375	30462
150	5413	30435
151	5448	30398
152	5490	30396
153	5537	30418
154	5577	30403
155	5616	30387
156	5654	30362
157	5695	30353
158	5764	30487
159	5804	30473
160	5843	30449
161	5881	30422
162	5919	30398
163	5959	30376
164	6005	30389
165	6043	30361
166	6082	30338
167	6119	30308
168	6153	30260
169	6191	30231
170	6228	30193
171	6265	30161
172	6303	30132
173	6344	30116
174	6383	30092
175	6422	30070
176	6463	30053
177	6505	30040
178	6550	30046
179	6589	30018
180	6625	29980
181	6663	29948
182	6697	29902
183	6737	29877
184	6770	29828
185	6808	29794
186	6844	29758
187	6877	29705
188	6909	29650
189	6945	29609
190	6981	29568
191	7015	29522
192	7050	29481
193	7087	29447
194	7123	29409
195	7161	29377
196	7195	29328
197	7229	29283
198	7265	29242
199	7302	29211
200	7336	29164
201	7372	29126
202	7408	29088
203	7444	29046
204	7477	28996
205	7515	28966
206	7552	28931
207	7586	28887
208	7622	28847
209	7657	28805
210	7691	28762
211	7725	28714
212	7761	28675
213	7794	28630
214	7826	28574
215	7860	28530
216	7895	28487
217	7928	28440
218	7963	28400
219	7997	28353
220	8029	28302
221	8065	28266
222	8102	28231
223	8138	28194
224	8173	28153
225	8206	28106
226	8242	28068
227	8277	28025
228	8313	27990
229	8350	27954
230	8386	27918
231	8421	27877
232	8457	27839
233	8499	27824
234	8536	27788
235	8571	27748
236	8602	27696
237	8639	27659
238	8674	27620
239	8707	27574
240	8742	27532
241	8777	27493
242	8813	27456
243	8848	27415
244	8887	27387
245	8925	27357
246	8958	27309
247	8993	27269
248	9025	27222
249	9060	27182
250	9096	27145
251	9128	27096
252	9164	27057
253	9199	27018
254	9233	26975
255	9270	26943
256	9306	26906
257	9341	26866
258	9375	26824
259	9410	26783
260	9444	26742
261	9484	26715
262	9518	26672
263	9553	26634
264	9587	26591
265	9621	26550
266	9658	26514
267	9691	26469
268	9724	26425
269	9760	26388
270	9792	26342
271	9828	26305
272	9863	26267
273	9897	26224
274	9931	26183
275	9966	26144
276	10001	26105
277	10037	26068
278	10078	26044
279	10111	26001
280	10147	25965
281	10183	25927
282	10217	25887
283	10254	25853
284	10289	25814
285	10324	25775
286	10359	25736
287	10391	25689
288	10424	25645
289	10467	25627
290	10506	25597
291	10544	25567
292	10579	25527
293	10614	25489
294	10651	25456
295	10694	25435
296	10730	25399
297	10766	25362
298	10801	25324
299	10839	25292
300	10876	25257
301	10913	25223
302	10946	25181
303	10981	25141
304	11016	25103
305	11054	25070
306	11088	25031
307	11124	24994
308	11156	24949
309	11192	24911
310	11224	24868
311	11260	24830
312	11295	24792
313	11329	24751
314	11364	24712
315	11397	24670
316	11434	24637
317	11476	24613
318	11513	24578
319	11549	24541
320	11585	24506
321	11619	24466
