iter	Passed	Remaining
0	89	89229
1	124	62315
2	158	52568
3	188	46873
4	222	44182
5	256	42543
6	290	41263
7	321	39805
8	350	38618
9	378	37506
10	408	36705
11	440	36238
12	467	35519
13	496	34937
14	522	34343
15	551	33911
16	580	33586
17	608	33193
18	637	32903
19	665	32632
20	694	32390
21	722	32123
22	754	32065
23	784	31913
24	813	31740
25	843	31595
26	871	31392
27	899	31233
28	931	31177
29	963	31146
30	995	31121
31	1023	30974
32	1053	30866
33	1081	30739
34	1112	30666
35	1139	30521
36	1168	30409
37	1197	30311
38	1230	30312
39	1260	30255
40	1288	30136
41	1321	30148
42	1350	30064
43	1384	30074
44	1413	30004
45	1441	29896
46	1469	29795
47	1497	29694
48	1528	29660
49	1557	29595
50	1586	29513
51	1615	29454
52	1643	29367
53	1670	29270
54	1703	29267
55	1732	29203
56	1761	29145
57	1788	29049
58	1816	28978
59	1844	28897
60	1872	28816
61	1902	28781
62	1937	28810
63	1966	28764
64	1995	28702
65	2025	28662
66	2053	28602
67	2081	28526
68	2110	28481
69	2140	28433
70	2170	28402
71	2205	28422
72	2238	28426
73	2276	28492
74	2308	28470
75	2340	28460
76	2372	28441
77	2402	28393
78	2432	28356
79	2467	28377
80	2496	28328
81	2527	28290
82	2555	28234
83	2584	28179
84	2611	28115
85	2642	28085
86	2669	28011
87	2697	27959
88	2725	27894
89	2756	27866
90	2784	27811
91	2815	27784
92	2844	27741
93	2879	27750
94	2911	27736
95	2943	27717
96	2975	27700
97	3004	27649
98	3033	27608
99	3061	27551
100	3090	27504
101	3118	27453
102	3147	27406
103	3181	27408
104	3214	27399
105	3246	27378
106	3280	27374
107	3308	27328
108	3336	27271
109	3363	27216
110	3391	27165
111	3423	27141
112	3452	27099
113	3480	27052
114	3514	27045
115	3545	27022
116	3575	26980
117	3607	26960
118	3641	26956
119	3675	26951
120	3707	26933
121	3742	26930
122	3773	26908
123	3805	26884
124	3836	26852
125	3865	26816
126	3897	26790
127	3928	26763
128	3960	26742
129	3990	26702
130	4020	26670
131	4054	26659
132	4088	26651
